feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
intent_android.intent.action.PACKAGE_ADDED,5,0.7826214106237989,0.2686569805071308,6.0,7.37563556583431,"chi2_stat, f_stat, pearson_r",0.39962382217706865,0.5134832309419256,1.0,1.0,1.0
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,4,0.598267764740095,0.38101351918343,89.2,168.95372147425462,"pearson_r, chi2_stat, f_stat",0.2612307879215495,0.023935652888675413,0.8905013051380125,0.8561617793097391,0.9595092984424983
perm_com.android.launcher.permission.READ_SETTINGS,4,0.5701551898690412,0.34660980680868003,71.0,130.0830503947382,"pearson_r, chi2_stat, f_stat",0.22969994342890274,0.07890794159706808,0.8225614616248117,0.7824819778686191,0.9371246248258042
n_urls,4,0.5616406437827566,0.3374500499325304,13.0,10.059821071967434,"entropy_reduction_ratio, mutual_information, pearson_r",1.0,0.8004396486087639,0.159326857532224,0.17870599584775318,0.6697307169250418
suspicious_Ldalvik/system/PathClassLoader;,4,0.473165701529142,0.33320783473621013,204.2,397.91627260015383,"mutual_information, entropy_reduction_ratio, f_stat",0.6124317618031471,1.0,0.2881257474171092,0.4652709984254533,0.0
perm_android.permission.ACCESS_WIFI_STATE,4,0.47156046008356584,0.19044285228111552,22.0,30.039973368829738,"pearson_r, f_stat, entropy_reduction_ratio",0.4293692406205114,0.301601539498098,0.3192021965380187,0.47912917647538145,0.8285001472858197
perm_android.permission.SYSTEM_ALERT_WINDOW,4,0.4387606158698484,0.26740251101008194,75.0,137.05473359209452,"pearson_r, chi2_stat, f_stat",0.23224431851658683,0.06884226407073424,0.5378892647068314,0.5126487101564423,0.842178521898647
perm_android.permission.WRITE_EXTERNAL_STORAGE,4,0.40048364539786513,0.19221180129801615,21.8,19.28107880799205,"pearson_r, mutual_information, f_stat",0.3408837983046009,0.3494877879663136,0.19885661837044027,0.3454325281596825,0.7677574941882882
suspicious_sendTextMessage,4,0.3967357808066345,0.29080198267708324,155.0,293.0501663538173,"pearson_r, chi2_stat, f_stat",0.15748094451174063,0.0,0.5175184639983437,0.4798709181084145,0.8288085774146737
perm_android.permission.READ_PHONE_STATE,4,0.34463654294187424,0.19525184333191103,33.2,37.95470985266519,"pearson_r, f_stat, mutual_information",0.19015363083154666,0.2654063556392225,0.26217786814392413,0.2750249438346365,0.7304199162600414
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,4,0.33687386347272574,0.2716561792493544,158.4,291.3750847275724,"pearson_r, chi2_stat, f_stat",0.11414124372572722,0.0,0.41128073081240585,0.37619324527804937,0.7827540975474463
intent_android.intent.action.CREATE_SHORTCUT,4,0.33687386347272574,0.2716561792493544,158.4,291.3750847275724,"pearson_r, chi2_stat, f_stat",0.11414124372572722,0.0,0.41128073081240585,0.37619324527804937,0.7827540975474463
n_providers,4,0.32436897880241655,0.18063394228468874,208.8,395.1158817359788,"mutual_information, entropy_reduction_ratio, chi2_stat",0.33907845512886275,0.6581995684932502,0.2872341725455279,0.19711158121568617,0.14022111662875603
perm_android.permission.ACCESS_FINE_LOCATION,4,0.27330742347031667,0.21525013814283375,71.4,109.83733427209529,"pearson_r, chi2_stat, f_stat",0.13460411316933873,0.10180465492300543,0.2218051824482886,0.21443010155264455,0.693893065258306
perm_com.android.launcher3.permission.READ_SETTINGS,3,0.37617781266739664,0.23129058559236135,45.6,66.03211339946647,"pearson_r, chi2_stat, f_stat",0.11414124372572722,0.19651974597335453,0.41128073081240585,0.37619324527804937,0.7827540975474463
intent_android.intent.action.DELETE,3,0.33687386347272574,0.2716561792493544,158.4,291.3750847275724,"pearson_r, chi2_stat, f_stat",0.11414124372572722,0.0,0.41128073081240585,0.37619324527804937,0.7827540975474463
suspicious_system/bin/su,3,0.2749347727095811,0.20755102457302324,57.4,76.97428141918571,"pearson_r, chi2_stat, f_stat",0.11335216347315603,0.16354056564363745,0.2139362688246981,0.19966332016988003,0.6841815454365341
perm_android.permission.SEND_SMS,3,0.2694055920837872,0.24484751794119347,162.2,289.47220937423333,"pearson_r, chi2_stat, f_stat",0.10492622406515684,0.0,0.27509220960368336,0.25068567937852015,0.7163238473715757
perm_android.permission.READ_SMS,3,0.2137313403484396,0.23258116915383775,168.9,286.1682022866971,"pearson_r, chi2_stat, f_stat",0.06233870774630686,0.0,0.18283351253141195,0.16425701181335184,0.6592274696511273
perm_android.permission.WRITE_SMS,3,0.2137313403484396,0.23258116915383775,168.9,286.1682022866971,"pearson_r, chi2_stat, f_stat",0.06233870774630686,0.0,0.18283351253141195,0.16425701181335184,0.6592274696511273
suspicious_Landroid/telephony/SmsMessage;->getMessageBody,3,0.2137313403484396,0.23258116915383775,168.9,286.1682022866971,"pearson_r, chi2_stat, f_stat",0.06233870774630686,0.0,0.18283351253141195,0.16425701181335184,0.6592274696511273
n_permissions,2,0.3310308643850072,0.1929214187947461,45.2,51.21484159889592,"pearson_r, entropy_reduction_ratio, mutual_information",0.4811847267726586,0.2174087174109535,0.19187790725211962,0.13133542020723696,0.6333475502820672
perm_android.permission.ACCESS_COARSE_LOCATION,2,0.2727566962604784,0.19912300339248357,39.4,28.45065904333325,"pearson_r, mutual_information, f_stat",0.11390631377581437,0.2834745117627205,0.1542245366660374,0.15779827663775112,0.6543798424600686
perm_android.permission.CHANGE_WIFI_STATE,2,0.24471518343441323,0.20723702301568972,64.0,73.1723991679923,"pearson_r, chi2_stat, mutual_information",0.07698046179164736,0.16373388365210734,0.17272680886931852,0.1566372806900866,0.6534974821689062
